2455762.500000000, A.D. 2011-Jul-20 00:00:00.0000,  1.715591339684390E-02,  1.469538925629055E+08,  1.518183359966640E-03,  1.689791205387094E+02,  2.954467247169407E+02,  2.455931997466251E+06,  1.141653740133388E-05,  1.928095923269167E+02,  1.923826629914367E+02,  1.495190280594741E+08,  1.520841635560427E+08,  3.153320375037168E+07,
2455763.000000000, A.D. 2011-Jul-20 12:00:00.0000,  1.707897139732318E-02,  1.469760179186513E+08,  1.387810313491003E-03,  1.765031074621646E+02,  2.879447937571613E+02,  2.455932040933933E+06,  1.141529991812402E-05,  1.932779843183110E+02,  1.928376456354603E+02,  1.495298336709642E+08,  1.520836494232771E+08,  3.153662212837962E+07,
2455763.500000000, A.D. 2011-Jul-21 00:00:00.0000,  1.699908246963997E-02,  1.469991466035488E+08,  1.285335316669312E-03,  1.852384173989249E+02,  2.792143617295779E+02,  2.455932067462375E+06,  1.141399732068918E-05,  1.937639320781382E+02,  1.933098553379087E+02,  1.495412099643424E+08,  1.520832733251360E+08,  3.154022117627965E+07,
2455764.000000000, A.D. 2011-Jul-21 12:00:00.0000,  1.691697736611872E-02,  1.470230770871044E+08,  1.216647210499421E-03,  1.949523512317094E+02,  2.694878798492489E+02,  2.455932076617012E+06,  1.141264041453168E-05,  1.942676934870135E+02,  1.937995418168910E+02,  1.495530628666532E+08,  1.520830486462021E+08,  3.154397115163752E+07,
2455764.500000000, A.D. 2011-Jul-22 00:00:00.0000,  1.683337773322877E-02,  1.470476104714742E+08,  1.184925767927365E-03,  2.051339867606298E+02,  2.592761087794258E+02,  2.455932068055802E+06,  1.141123984342950E-05,  1.947894386520287E+02,  1.943068682939324E+02,  1.495652996563735E+08,  1.520829888412728E+08,  3.154784273571160E+07,
2455765.000000000, A.D. 2011-Jul-22 12:00:00.0000,  1.674900081654586E-02,  1.470725490947468E+08,  1.189132458184914E-03,  2.151014402596764E+02,  2.492608580178317E+02,  2.455932041528808E+06,  1.140980616903308E-05,  1.953292493481492E+02,  1.948319105534992E+02,  1.495778282624517E+08,  1.520831074301566E+08,  3.155180681132535E+07,
2455765.500000000, A.D. 2011-Jul-23 00:00:00.0000,  1.666456540752492E-02,  1.470976947167300E+08,  1.223940270401829E-03,  2.242343748512776E+02,  2.400624843223171E+02,  2.455931996883453E+06,  1.140834997757636E-05,  1.958871124847738E+02,  1.953746501436549E+02,  1.495905563269892E+08,  1.520834179372483E+08,  3.155583416599217E+07,
2455766.000000000, A.D. 2011-Jul-23 12:00:00.0000,  1.658079848496221E-02,  1.471228464316921E+08,  1.281282970390499E-03,  2.321578252770766E+02,  2.320560800942800E+02,  2.455931934076130E+06,  1.140688200633309E-05,  1.964629070860171E+02,  1.959349612210010E+02,  1.496033900955333E+08,  1.520839337593746E+08,  3.155989514050625E+07,
2455766.500000000, A.D. 2011-Jul-24 00:00:00.0000,  1.649844196656938E-02,  1.471477984624070E+08,  1.352396015955472E-03,  2.387628307842859E+02,  2.253508603175434E+02,  2.455931853190594E+06,  1.140541328198798E-05,  1.970563844547504E+02,  1.965125907226291E+02,  1.496162332031662E+08,  1.520846679439254E+08,  3.156395924455719E+07,
2455767.000000000, A.D. 2011-Jul-24 12:00:00.0000,  1.641825893446774E-02,  1.471723380045197E+08,  1.429237042848376E-03,  2.441160183876208E+02,  2.198806058541444E+02,  2.455931754463370E+06,  1.140395526233050E-05,  1.976671414477361E+02,  1.971071318035225E+02,  1.496289854314347E+08,  1.520856328583496E+08,  3.156799476311087E+07,
2455767.500000000, A.D. 2011-Jul-25 00:00:00.0000,  1.634103863225026E-02,  1.471962433104164E+08,  1.505053170584060E-03,  2.483582386861736E+02,  2.155050606063542E+02,  2.455931638316005E+06,  1.140251997153676E-05,  1.982945871640938E+02,  1.977179908507376E+02,  1.496415415214072E+08,  1.520868397323980E+08,  3.157196838055452E+07,
2455768.000000000, A.D. 2011-Jul-25 12:00:00.0000,  1.626759945669434E-02,  1.472192822264860E+08,  1.574407738553556E-03,  2.516386099476887E+02,  2.120759259909788E+02,  2.455931505393481E+06,  1.140112011778676E-05,  1.989379038829655E+02,  1.983443489160090E+02,  1.496537901416871E+08,  1.520882980568882E+08,  3.157584485390766E+07,
2455768.500000000, A.D. 2011-Jul-26 00:00:00.0000,  1.619878909820772E-02,  1.472412114238131E+08,  1.633004820618271E-03,  2.540830788388491E+02,  2.094683427868760E+02,  2.455931356607386E+06,  1.139976918018176E-05,  1.995960038109567E+02,  1.989851191275468E+02,  1.496656131260967E+08,  1.520900148283803E+08,  3.157958677144550E+07,
2455769.000000000, A.D. 2011-Jul-26 12:00:00.0000,  1.613548094349867E-02,  1.472617765843377E+08,  1.677502300403106E-03,  2.557832570638872E+02,  2.075920986173509E+02,  2.455931193181510E+06,  1.139848145013089E-05,  2.002674841245112E+02,  1.996389025575616E+02,  1.496768851117404E+08,  1.520919936391431E+08,  3.158315443816124E+07,
2455769.500000000, A.D. 2011-Jul-27 00:00:00.0000,  1.607856587336010E-02,  1.472807138139865E+08,  1.705388849147811E-03,  2.567940551667382E+02,  2.063940362574985E+02,  2.455931016696433E+06,  1.139727201097953E-05,  2.009505838840546E+02,  2.003039461009434E+02,  1.496874737206203E+08,  1.520942336272542E+08,  3.158650593345453E+07,
